City,Month,AvgTemperature
Beijing,1,79.52
Beijing,1,80.42
Beijing,1,78.08
Beijing,1,82.76
Beijing,1,84.38
Beijing,1,73.22
Beijing,1,76.1
Beijing,1,83.66
Beijing,1,90.68
Beijing,1,93.56
Beijing,1,98.24
Beijing,1,104.72
Beijing,1,100.04
Beijing,1,-146.2
Beijing,1,89.96
Beijing,1,89.24
Beijing,1,85.64
Beijing,1,95.9
Beijing,1,90.86
Beijing,1,88.16
Beijing,1,85.28
Beijing,1,72.32
Beijing,2,77.54
Beijing,2,87.08
Beijing,2,93.02
Beijing,2,80.78
Beijing,2,85.46
Beijing,2,75.56
Beijing,2,67.46
Beijing,2,73.04
Beijing,2,71.06
Beijing,2,69.44
Beijing,2,84.38
Beijing,2,71.96
Beijing,2,78.62
Beijing,2,75.2
Beijing,2,77.18
Beijing,2,82.58
Beijing,2,94.28
Beijing,2,94.28
Beijing,2,93.74
Beijing,2,95.36
Beijing,2,101.12
Beijing,2,101.66
Beijing,2,106.34
Beijing,2,107.6
Beijing,2,105.26
Beijing,2,103.46
Beijing,2,107.24
Beijing,2,109.76
Beijing,3,109.76
Beijing,3,113.18
Beijing,3,111.74
Beijing,3,125.42
Beijing,3,126.14
Beijing,3,105.62
Beijing,3,107.96
Beijing,3,114.8
Beijing,3,113.72
Beijing,3,110.66
Beijing,3,119.84
Beijing,3,114.8
Beijing,3,120.2
Beijing,3,123.98
Beijing,3,114.26
Beijing,3,123.44
Beijing,3,130.64
Beijing,3,130.28
Beijing,3,149.36
Beijing,3,131.9
Beijing,3,109.94
Beijing,3,118.76
Beijing,3,114.26
Beijing,3,125.78
Beijing,3,137.3
Beijing,3,127.94
Beijing,3,131.54
Beijing,3,108.86
Beijing,3,115.52
Beijing,3,110.66
Beijing,3,120.56
Beijing,4,125.6
Beijing,4,125.6
Beijing,4,127.94
Beijing,4,151.16
Beijing,4,131.9
Beijing,4,132.98
Beijing,4,129.02
Beijing,4,130.1
Beijing,4,110.12
Beijing,4,136.4
Beijing,4,132.8
Beijing,4,140.9
Beijing,4,142.52
Beijing,4,144.32
Beijing,4,153.68
Beijing,4,150.44
Beijing,4,160.16
Beijing,4,142.16
Beijing,4,134.96
Beijing,4,125.06
Beijing,4,138.56
Beijing,4,152.06
Beijing,4,159.8
Beijing,4,-146.2
Beijing,4,132.98
Beijing,4,138.02
Beijing,4,122.54
Beijing,4,132.26
Beijing,4,141.26
Beijing,4,149.18
Beijing,5,159.08
Beijing,5,163.22
Beijing,5,164.3
Beijing,5,160.88
Beijing,5,141.26
Beijing,5,150.98
Beijing,5,160.7
Beijing,5,150.98
Beijing,5,160.34
Beijing,5,163.22
Beijing,5,163.4
Beijing,5,138.92
Beijing,5,148.64
Beijing,5,156.74
Beijing,5,164.66
Beijing,5,-146.2
Beijing,5,-146.2
Beijing,5,-146.2
Beijing,5,-146.2
Beijing,5,153.14
Beijing,5,161.78
Beijing,5,171.32
Beijing,5,178.34
Beijing,5,173.84
Beijing,5,182.12
Beijing,5,154.76
Beijing,5,163.22
Beijing,5,169.88
Beijing,5,176.54
Beijing,5,168.26
Beijing,5,171.5
Beijing,6,165.74
Beijing,6,169.88
Beijing,6,171.86
Beijing,6,160.88
Beijing,6,169.34
Beijing,6,158.72
Beijing,6,169.52
Beijing,6,180.32
Beijing,6,171.32
Beijing,6,173.3
Beijing,6,172.58
Beijing,6,179.42
Beijing,6,174.2
Beijing,6,181.22
Beijing,6,174.2
Beijing,6,152.78
Beijing,6,162.68
Beijing,6,175.82
Beijing,6,175.82
Beijing,6,181.94
Beijing,6,172.22
Beijing,6,186.44
